"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.02680185116813e-120,5.21606678308703,0.35,0.012,1.28545323747738e-116,"5","XCL1"
3.08910543877536e-224,5.17724753419651,0.838,0.06,3.86725109880288e-220,"5","FGFBP2"
4.38017682529758e-183,6.43046370288845,0.4,0.005,5.48354336759004e-179,"6","CKB"
7.38788828680448e-223,5.77018111121934,0.533,0.01,9.24889734625053e-219,"6","CDKN1C"
1.92303858188541e-110,5.07943281605683,0.313,0.01,2.40745200066234e-106,"6","BATF3"
2.1120349199204e-207,5.0761996258814,0.607,0.021,2.64405651624835e-203,"6","HES4"
1.86237386687161e-118,4.89148740744148,0.367,0.014,2.33150584393657e-114,"6","MS4A4A"
2.97792178324982e-80,4.68422029513424,0.293,0.016,3.72806028045045e-76,"6","CTD-2006K23.1"
8.86391102322187e-189,4.58150146003727,0.833,0.074,1.10967302099715e-184,"6","MS4A7"
1.35763461239364e-148,4.49736322795709,0.553,0.032,1.6996227712556e-144,"6","LILRA3"
1.0643117281489e-177,4.37347769299042,0.973,0.136,1.3324118524696e-173,"6","FCGR3A"
1.1828327401778e-189,4.2789581762843,0.833,0.071,1.48078830742859e-185,"6","RP11-290F20.3"
2.12497040157742e-211,5.01183779078611,0.826,0.058,2.66025044573477e-207,"7","GZMH"
4.47016701617342e-63,4.13816749034173,0.285,0.021,5.5962020875475e-59,"7","FCRL6"
1.85474872011835e-85,3.40212305937009,0.611,0.088,2.32195992271617e-81,"7","CD8A"
1.60725513498116e-114,3.21995837070376,1,0.262,2.01212270348292e-110,"7","CCL5"
3.06892466929197e-115,3.07563716077138,1,0.244,3.84198679348662e-111,"7","NKG7"
8.20317027472064e-138,3.05370546600194,0.944,0.147,1.02695488669228e-133,"7","CST7"
8.71099815654392e-63,2.83322637100857,0.41,0.049,1.09052985921773e-58,"7","TIGIT"
2.04218780195931e-106,2.65008414598821,0.882,0.155,2.55661490927286e-102,"7","GZMA"
1.83645592085729e-50,2.57854579729373,0.528,0.103,2.29905916732124e-46,"7","CD8B"
8.84570522350327e-75,2.40594608311119,0.569,0.081,1.10739383693037e-70,"7","FGFBP2"
2.41269772063823e-202,8.14053020014408,0.774,0.011,3.020456276467e-198,"8","FCER1A"
4.07846354512935e-141,6.48144139839902,0.419,0.003,5.10582851214744e-137,"8","SERPINF1"
2.53658515856162e-146,6.47970843117456,0.71,0.015,3.17555096000329e-142,"8","CLEC10A"
4.65437227605618e-159,6.24197546370363,0.484,0.004,5.82680865239473e-155,"8","ENHO"
2.08718550260649e-84,5.35090983525679,0.581,0.02,2.61294753071307e-80,"8","CD1C"
2.4029657939941e-36,5.01546693389495,0.258,0.009,3.00827287750122e-32,"8","UPK3A"
