"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.96271907333782e-97,0.585302150723947,1,0.995,6.21282800791161e-93,"0","RPS16"
8.72665981712435e-97,0.552838719468193,1,0.999,1.0924905425058e-92,"0","RPL27A"
4.42297698432662e-96,0.706055236205385,1,0.972,5.53712488667849e-92,"0","RPSA"
5.09550166010605e-95,0.590107190711847,1,0.996,6.37905852828677e-91,"0","RPL23A"
1.16516893653302e-94,0.46461768154751,1,0.999,1.45867499164569e-90,"0","RPL19"
5.51996825883876e-94,0.729593742369958,0.999,0.961,6.91044826324024e-90,"0","RPS20"
3.50362116197803e-85,0.609583957119713,0.999,0.993,4.3861833326803e-81,"0","RPS10"
4.30931849097644e-85,0.577035340327603,1,0.994,5.3948358188534e-81,"0","RPL18"
2.0077192709715e-83,0.728608829818267,0.996,0.922,2.51346375532923e-79,"0","RPS29"
9.02660358445395e-83,0.602952106832204,1,0.993,1.13004050273779e-78,"0","RPS5"
5.78977716082001e-81,0.896274125095254,0.954,0.793,7.24822202763056e-77,"0","NPM1"
5.07990207415236e-80,0.698989184842491,0.997,0.977,6.35952940663134e-76,"0","RPL7"
3.03788213398598e-74,1.00019536081458,0.859,0.393,3.80312464353705e-70,"0","CD3D"
8.45722868831284e-74,0.623695808338283,0.997,0.962,1.05876045948988e-69,"0","RPLP0"
4.41112589236384e-72,0.407971929789606,1,0.999,5.5222885046503e-68,"0","RPS2"
7.55215383596456e-72,0.574242078368552,0.999,0.978,9.45454138724404e-68,"0","RPL17"
1.55181744364077e-71,1.13926809859783,0.765,0.371,1.94272025769389e-67,"0","CD3E"
1.90724701899569e-71,0.61719988728744,0.999,0.979,2.38768254308071e-67,"0","RPL4"
3.93541498795621e-71,0.449122810132753,1,0.996,4.92674602342238e-67,"0","RPL14"
5.22192671689939e-70,0.525452585708726,1,0.996,6.53733005688635e-66,"0","RPS8"
3.58669095169562e-68,0.686406456411478,0.985,0.879,4.49017840242775e-64,"0","EEF1B2"
1.17969961001605e-66,0.666255337015824,0.982,0.908,1.4768659417791e-62,"0","RPL36A"
9.25414135377358e-66,0.564968262067586,0.997,0.966,1.15852595607891e-61,"0","RPL36"
2.68718488694026e-65,1.28011373468004,0.675,0.328,3.36408675996052e-61,"0","NOSIP"
2.31946593061393e-63,0.386276097898326,1,0.999,2.90373939853557e-59,"0","RPL18A"
3.36289756013424e-62,0.502332597565152,1,1,4.21001145553206e-58,"0","MALAT1"
6.44521622521586e-60,0.414685506671594,1,0.997,8.06876619234773e-56,"0","RPS15"
3.90716865113971e-59,0.407471731219498,1,0.999,4.8913844343618e-55,"0","RPS19"
1.71223817172839e-58,2.11914885400335,0.362,0.1,2.14355096718678e-54,"0","PRKCQ-AS1"
8.49218756662916e-57,2.00335307881355,0.357,0.098,1.0631369614663e-52,"0","LEF1"
1.96110415707772e-55,0.389793640266832,1,0.999,2.4551062942456e-51,"0","RPLP1"
3.73962396847713e-54,1.20100326880981,0.647,0.304,4.68163524613652e-50,"0","IL7R"
1.10984041490296e-51,0.722017200417004,0.934,0.771,1.38940921541701e-47,"0","RPL22"
1.53939221396114e-51,0.827779137786897,0.888,0.669,1.92716511265795e-47,"0","TMEM66"
3.36299385875783e-50,0.684864499424074,0.943,0.788,4.21013201177893e-46,"0","GLTSCR2"
1.37251399009591e-49,0.722102489793452,0.944,0.924,1.71825026420107e-45,"0","JUNB"
1.35763686970783e-48,0.588615948643482,0.976,0.886,1.69962559718723e-44,"0","RPL38"
1.25822202422864e-47,1.50928599067742,0.451,0.178,1.57516815213183e-43,"0","PIK3IP1"
1.91755612525776e-47,0.750141546311711,0.951,0.907,2.40058851321019e-43,"0","RPL34"
3.04317710609061e-47,0.725894311970536,0.89,0.663,3.80975341911483e-43,"0","RPSAP58"
4.98810269690492e-46,0.335736578229226,1,0.999,6.24460576625527e-42,"0","RPL12"
1.05658093147565e-44,0.844661754033305,0.601,0.281,1.32273366811437e-40,"0","CD7"
1.90058674239616e-44,1.15831767872126,0.438,0.166,2.37934454280576e-40,"0","CD27"
