"cluster","ID","Description","GeneRatio","pvalue","p.adjust","Count","geneID"
"2","GO:0045058","T cell selection","5/46",0.000188735206083751,0.0122300413542271,5,"CD3D/CD3G/CD3E/SOCS3/CD69"
"2","GO:0045321","leukocyte activation","16/46",0.000287275214379021,0.0166223384379947,16,"CD40LG/SIT1/CD2/ITM2A/IL7R/CD3D/CD3G/LAT/FLT3LG/LCK/CD3E/LEF1/PRDX2/CD27/SOCS3/CD69"
"2","GO:0002694","regulation of leukocyte activation","12/46",0.000296253716494293,0.0166223384379947,12,"CD40LG/SIT1/CD2/IL7R/LAT/FLT3LG/LCK/CD3E/LEF1/PRDX2/CD27/CD69"
"2","GO:0001775","cell activation","17/46",0.000307821082185087,0.0166223384379947,17,"CD40LG/SIT1/CD2/ITM2A/IL7R/CD3D/CD3G/LAT/FLT3LG/LCK/CD3E/LEF1/PRDX2/CD27/SOCS3/RGCC/CD69"
"2","GO:0045619","regulation of lymphocyte differentiation","7/46",0.00035958281044639,0.0183954995659943,7,"CD2/IL7R/LCK/LEF1/PRDX2/CD27/CD69"
"2","GO:0002520","immune system development","6/46",0.000433326428806254,0.0210596644399839,6,"CD40LG/LTB/IL7R/CD3E/LEF1/PRDX2"
"2","GO:0050865","regulation of cell activation","12/46",0.000565755534342534,0.025277456772559,12,"CD40LG/SIT1/CD2/IL7R/LAT/FLT3LG/LCK/CD3E/LEF1/PRDX2/CD27/CD69"
"2","GO:0006955","immune response","21/46",0.000572123507197837,0.025277456772559,21,"CD40LG/OPTN/TRAT1/SIT1/CD2/ITM2A/IL32/LTB/IL7R/CD3D/CD3G/LAT/LCK/CD3E/LEF1/CD27/SOCS3/RGCC/IFITM1/CD69/TAP1"
"2","GO:0050852","T cell receptor signaling pathway","6/46",0.000810033718056313,0.0342327293022059,6,"TRAT1/CD3D/CD3G/LAT/LCK/CD3E"
"2","GO:0002376","immune system process","24/46",0.0010617167968176,0.0429995302711128,24,"AQP3/CD40LG/OPTN/TRAT1/SIT1/CD2/ITM2A/IL32/LTB/IL7R/CD3D/CD3G/LAT/FLT3LG/LCK/CD3E/LEF1/PRDX2/CD27/SOCS3/RGCC/IFITM1/CD69/TAP1"
"2","GO:0008219","cell death","19/46",0.00125717546217841,0.0471974487483276,19,"CD40LG/OPTN/MAL/CD2/TRADD/LTB/PPP2R5C/IL7R/CD3G/TNFAIP8/LCK/CD3E/LEF1/PRDX2/CD27/SOCS3/RGCC/PDCD5/HINT1"
"2","GO:0009967","positive regulation of signal transduction","15/46",0.00126248319697173,0.0471974487483276,15,"CD40LG/MAL/TRAT1/TRADD/LTB/IL7R/LAT/LCK/PBXIP1/CD3E/LEF1/PRDX2/CD27/OCIAD2/HINT1"
"3","GO:0002399","MHC class II protein complex assembly","11/46",2.32634644010389e-15,1.14688879497122e-12,11,"HLA-DOB/HLA-DQB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1"
"3","GO:0002503","peptide antigen assembly with MHC class II protein complex","11/46",2.32634644010389e-15,1.14688879497122e-12,11,"HLA-DOB/HLA-DQB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1"
"3","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","12/46",8.41885478400821e-14,2.62393500296111e-11,12,"HLA-DOB/HLA-DQB1/HLA-DQA1/HLA-DQA2/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1"
"3","GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","12/46",1.72276601098605e-13,2.62393500296111e-11,12,"HLA-DOB/HLA-DQB1/HLA-DQA1/HLA-DQA2/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1"
"3","GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","12/46",1.72276601098605e-13,2.62393500296111e-11,12,"HLA-DOB/HLA-DQB1/HLA-DQA1/HLA-DQA2/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1"
"3","GO:0002396","MHC protein complex assembly","11/46",1.86283418060119e-13,2.62393500296111e-11,11,"HLA-DOB/HLA-DQB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1"
"3","GO:0002501","peptide antigen assembly with MHC protein complex","11/46",1.86283418060119e-13,2.62393500296111e-11,11,"HLA-DOB/HLA-DQB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1"
"3","GO:0002478","antigen processing and presentation of exogenous peptide antigen","12/46",1.15341212327358e-12,1.42158044193469e-10,12,"HLA-DOB/HLA-DQB1/HLA-DQA1/HLA-DQA2/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1"
"3","GO:0050778","positive regulation of immune response","24/46",4.37221259805836e-12,4.79000180187283e-10,24,"CD79A/FCER2/MS4A1/CD72/HLA-DOB/BLK/CD79B/BANK1/HLA-DQB1/HLA-DQA1/CD40/HLA-DQA2/MEF2C/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1/STX7/BIRC3/PRKCB"
"3","GO:0019884","antigen processing and presentation of exogenous antigen","12/46",5.80882401212051e-12,5.44194993120303e-10,12,"HLA-DOB/HLA-DQB1/HLA-DQA1/HLA-DQA2/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1"
"3","GO:0050776","regulation of immune response","26/46",6.07114089687965e-12,5.44194993120303e-10,26,"CD79A/FCER2/MS4A1/CD72/HLA-DOB/BLK/CD79B/BANK1/HLA-DQB1/HLA-DQA1/CD40/HLA-DQA2/MEF2C/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1/CD37/NCF1/STX7/BIRC3/PRKCB"
